prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a lignan with a dibenzocyclooctadiene skeleton isolated from Kadsura ananosma. It has a role as a plant metabolite. It is an aromatic ether, an enoate ester, a lignan, an organic heterotetracyclic compound and an oxacycle. It derives from an angelic acid.",C/C=C(/C)C(=O)O[C@H]1c2cc(OC)c(OC)c(OC)c2-c2c(cc3c(c2OC)OCO3)[C@H](OC(=O)C(C)C)[C@H](C)[C@@H]1C,COC(=CCC(=O)c1ccc(OC)c(OC)c1)C1=COC(=O)COC[C@@H](c2ccc(OC(C)=O)o2)C(C)CO1,True,False,0.583,0.4192,0.6526,0.4567,0.4421,0.2,0.7143,0.4496
"The molecule is a polyketide that is monacolin L bearing an additional hydroxy substituent at position 8. It has a role as an antimicrobial agent, a fungal metabolite and an EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor. It is a secondary alcohol, a polyketide, a carbobicyclic compound, a member of 2-pyranones and a member of hexahydronaphthalenes. It derives from a monacolin L.",C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](O)C1,C[CH]CC[C@@H](C)[C@H]([CH][C@@H](O)CC(=O)[CH]CC)C1[CH]CC[C@H](O)[C@H](C)[C@H](C)C[CH]C1,True,False,0.6796,0.5799,0.6279,0.4507,0.4943,0.1222,0.6429,0.2583
The molecule is a nucleotide-sugar oxoanion resulting from the removal of two protons from the diphosphate group of UDP-beta-L-arabinopyranose. It is a conjugate base of an UDP-beta-L-arabinopyranose.,O=c1nc([O-])ccn1[C@@H]1O[C@H](COP(=O)([O-])OP(=O)(O)O[C@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O,O=c1nc([O-])ccn1[CH]O[CH]COP(=O)([O-])OP(=O)(O)O,True,False,0.3171,0.2903,0.4567,0.4365,0.4752,0.3462,0.7681,0.4223
The molecule is a dTDP-sugar having D-ravidosamine as the sugar component. It derives from a D-ravidosamine. It is a conjugate acid of a dTDP-D-ravidosamine(1-).,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](C)[C@H](O)[C@H](N(C)C)[C@H]3O)O2)c(=O)nc1O,CC=C1C=NC(=O)C=NCN1[C@@H]1[CH]O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)C1,True,False,0.7736,0.6819,0.6895,0.5479,0.6204,0.4362,0.7059,0.5751
The molecule is a mannotriose consisting of an alpha-D-mannopyranose residue and two beta-D-mannopyranose residues joined in sequence by (1->3) and (1->2) glycosidic bonds. It derives from a beta-D-Manp-(1->2)-beta-D-Manp and an alpha-D-Manp-(1->3)-beta-D-Manp.,OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@H](O[C@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,OC[CH]O[CH]O[CH][C@H](O)[CH]O[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,True,False,0.4347,0.3837,0.3345,0.2888,0.5565,0.2692,0.8438,0.6131
The molecule is a piperidinium ion resulting from the protonation of the amino group of (R)-donepezil. It is a conjugate acid of a (R)-donepezil. It is an enantiomer of a (S)-donepezil(1+).,COc1cc2c(cc1OC)C(=O)[C@H](CC1CC[NH+](Cc3ccccc3)CC1)C2,CC=CC=C[NH+]CC[NH+]CC=CC=C[NH+]CC[NH+]C,True,False,0.2351,0.1419,0.1232,0.0,0.2642,0.0563,0.3393,0.0548
"The molecule is an abietane diterpenoid with formula C20H26O3, originally isolated from Tripterygium hypoglaucum. It has a role as a plant metabolite. It is a member of p-quinones, an abietane diterpenoid, a carbotricyclic compound, a cyclic terpene ketone and a tricyclic diterpenoid.",CC(C)C1=CC(=O)C2=C(CC[C@H]3C(C)(C)C(=O)CC[C@]23C)C1=O,CC=CC(C)C(C)(C)CCCC(C)C,True,False,0.2587,0.2082,0.3508,0.2822,0.3962,0.05,0.3636,0.2149
"The molecule is a monocarboxylic acid amide that is piroxicam in which the pyrid-2-yl group is replaced by a 5-methyl-1,2-oxazol-3-yl group. A non-steroidal anti-inflammatory drug, it was withdrawn from the market in the 1980s following its association with cases of Stevens-Johnson syndrome. It has a role as a non-steroidal anti-inflammatory drug and an antirheumatic drug. It is a benzothiazine, a member of isoxazoles and a monocarboxylic acid amide.",Cc1cc(=NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)[nH]o1,Cc1ccc(C(=O)c2[nH]c(C)nc2CC(=O)NCN2CCNc3ncc2cn3)c(C)c1,True,False,0.5911,0.343,0.565,0.3208,0.3519,0.1183,0.433,0.4117
"The molecule is a pyrazinoindole with a disulfide bridge spanning a dioxo-substituted pyrazine ring; mycotoxin produced by several species of fungi. It has a role as a mycotoxin, an immunosuppressive agent, an EC 2.5.1.58 (protein farnesyltransferase) inhibitor, a proteasome inhibitor and an antifungal agent. It is an organic disulfide, a pyrazinoindole, an organic heterotetracyclic compound and a dipeptide.",CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3,[NH]C(=O)N[C@@H]1OC(C(O)=NC(=O)CN=C(O)C(O)=NC=N)=N[C@@H](Cc2nccc(O)n[nH]cn2)C[C@@H]1O,True,False,0.4506,0.2366,0.3396,0.1709,0.3529,0.0721,0.3953,0.4655
"The molecule is an organosulfur heterocyclic compound produced by a marine bacterium Alteromonas rava and has been shown to exhibit antibacterial activity against Gram-positive and Gram-negative bacteria. It has a role as an antimicrobial agent, a bacterial metabolite, an antibacterial agent and a marine metabolite. It is an organosulfur heterocyclic compound, a lactam, an enoate ester and a cyclic ether.",C/C(=C\C(=O)OCCCCCCCC(O)=Nc1c(O)nc2cssc1-2)[C@@H](O)[C@@H]1OC[C@H](C/C=C/[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,COC(=O)/C=C/C=C\C=C(O)[C@@H]1O[C@@H](O)[C@H](O)[C@@H](O)C1OS(=O)(=O)CSCCCCCCC=CCCCCCN=C(O)C(O)/C=C/C=O,True,False,0.657,0.525,0.6085,0.4303,0.3611,0.163,0.5385,0.4239
