prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a lignan with a dibenzocyclooctadiene skeleton isolated from Kadsura ananosma. It has a role as a plant metabolite. It is an aromatic ether, an enoate ester, a lignan, an organic heterotetracyclic compound and an oxacycle. It derives from an angelic acid.",C/C=C(/C)C(=O)O[C@H]1c2cc(OC)c(OC)c(OC)c2-c2c(cc3c(c2OC)OCO3)[C@H](OC(=O)C(C)C)[C@H](C)[C@@H]1C,O=C(c1ccc2c(c1)OCO2)[C@H]1COc2ccc(cc2)OCO1,True,False,0.22,0.1434,0.2619,0.1382,0.2737,0.1795,0.6279,0.3655
"The molecule is a polyketide that is monacolin L bearing an additional hydroxy substituent at position 8. It has a role as an antimicrobial agent, a fungal metabolite and an EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor. It is a secondary alcohol, a polyketide, a carbobicyclic compound, a member of 2-pyranones and a member of hexahydronaphthalenes. It derives from a monacolin L.",C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](O)C1,C[CH][CH]C=C[CH]C,True,False,0.0293,0.0146,0.006,0.0,0.2329,0.0182,0.0769,0.042
The molecule is a nucleotide-sugar oxoanion resulting from the removal of two protons from the diphosphate group of UDP-beta-L-arabinopyranose. It is a conjugate base of an UDP-beta-L-arabinopyranose.,O=c1nc([O-])ccn1[C@@H]1O[C@H](COP(=O)([O-])OP(=O)(O)O[C@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O,O=c1nc([O-])ccn1[CH]O[CH]COP(=O)([O-])OP(=O)(O)O,True,False,0.3171,0.2903,0.4567,0.4365,0.4752,0.3462,0.7681,0.4223
The molecule is a dTDP-sugar having D-ravidosamine as the sugar component. It derives from a D-ravidosamine. It is a conjugate acid of a dTDP-D-ravidosamine(1-).,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](C)[C@H](O)[C@H](N(C)C)[C@H]3O)O2)c(=O)nc1O,CC=CN(C=O)[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2C[C@H](C)[C@@H](O)[C@@H](C)O2)O1,True,False,0.7818,0.7083,0.6773,0.5709,0.6893,0.3667,0.7308,0.5174
The molecule is a mannotriose consisting of an alpha-D-mannopyranose residue and two beta-D-mannopyranose residues joined in sequence by (1->3) and (1->2) glycosidic bonds. It derives from a beta-D-Manp-(1->2)-beta-D-Manp and an alpha-D-Manp-(1->3)-beta-D-Manp.,OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@H](O[C@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,[CH][C@@H](O)[CH]O[CH]O[CH]CO,True,False,0.0319,0.0207,0.0107,0.0059,0.2339,0.0833,0.5,0.1322
The molecule is a piperidinium ion resulting from the protonation of the amino group of (R)-donepezil. It is a conjugate acid of a (R)-donepezil. It is an enantiomer of a (S)-donepezil(1+).,COc1cc2c(cc1OC)C(=O)[C@H](CC1CC[NH+](Cc3ccccc3)CC1)C2,C[NH+]CC1CCN1CCC[NH+]C1=CC=C(C[NH+]C2C[NH+](Cc3ccccc3)C2)CC1,True,False,0.5454,0.4453,0.6001,0.4802,0.4333,0.2045,0.4615,0.2713
"The molecule is an abietane diterpenoid with formula C20H26O3, originally isolated from Tripterygium hypoglaucum. It has a role as a plant metabolite. It is a member of p-quinones, an abietane diterpenoid, a carbotricyclic compound, a cyclic terpene ketone and a tricyclic diterpenoid.",CC(C)C1=CC(=O)C2=C(CC[C@H]3C(C)(C)C(=O)CC[C@]23C)C1=O,CC=CC(C)C(C)(C)CCCC(C)C,True,False,0.2587,0.2082,0.3508,0.2822,0.3962,0.05,0.3636,0.2149
"The molecule is a monocarboxylic acid amide that is piroxicam in which the pyrid-2-yl group is replaced by a 5-methyl-1,2-oxazol-3-yl group. A non-steroidal anti-inflammatory drug, it was withdrawn from the market in the 1980s following its association with cases of Stevens-Johnson syndrome. It has a role as a non-steroidal anti-inflammatory drug and an antirheumatic drug. It is a benzothiazine, a member of isoxazoles and a monocarboxylic acid amide.",Cc1cc(=NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)[nH]o1,COC(N=CCNC(=O)C=C(O)NN=C(C)N(C)C)=NC(=O)C(C)C,True,False,0.4384,0.311,0.4584,0.3251,0.3404,0.0568,0.3978,0.2051
"The molecule is a pyrazinoindole with a disulfide bridge spanning a dioxo-substituted pyrazine ring; mycotoxin produced by several species of fungi. It has a role as a mycotoxin, an immunosuppressive agent, an EC 2.5.1.58 (protein farnesyltransferase) inhibitor, a proteasome inhibitor and an antifungal agent. It is an organic disulfide, a pyrazinoindole, an organic heterotetracyclic compound and a dipeptide.",CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3,N[CH][C@@H](O)[C@@H](O)[C@@H](CCc1nccc(O)n[nH]cn1)NC(=O)N1C(=O)CN=C(O)C(O)=NC=NNC1=O,True,False,0.4766,0.3222,0.3656,0.2107,0.2976,0.0762,0.4419,0.4341
"The molecule is an organosulfur heterocyclic compound produced by a marine bacterium Alteromonas rava and has been shown to exhibit antibacterial activity against Gram-positive and Gram-negative bacteria. It has a role as an antimicrobial agent, a bacterial metabolite, an antibacterial agent and a marine metabolite. It is an organosulfur heterocyclic compound, a lactam, an enoate ester and a cyclic ether.",C/C(=C\C(=O)OCCCCCCCC(O)=Nc1c(O)nc2cssc1-2)[C@@H](O)[C@@H]1OC[C@H](C/C=C/[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,COC(=O)/C=C/N[C@@H]1S[C@@H](C(C)(C)O)C2=C1OS(=O)(=O)N[CH]COC(=O)CCCCCCC1(CCCCCCCCC1)S2,True,False,0.5319,0.3417,0.5828,0.3341,0.2593,0.1288,0.4948,0.4448
