prompt,response
"The molecule is an organic heterotetracyclic compound isolated from the stems of Kadsura matsudai. It has a role as a plant metabolite. It is an organic heterotetracyclic compound, a cyclic ether, a methyl ester, an alpha-ketoester, an enoate ester and a hexanoate ester.",[C][C][C][C][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][Branch2][Ring2][N][C][=C][Ring1][=Branch1][C][Branch1][O][C][=Branch1][C][=O][C][=Branch1][C][=O][O][C][Branch1][Branch1][C][O][Ring1][O][/C][=Branch1][Branch2][=C][\C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][C][Ring2][Ring1][#Branch2][C][O][C][O][Ring2][Ring1][O]
"The molecule is an N-glycosyl compound consisting of a heteropolycyclic ring system with a glucosyl group attached to one of the indolic nitrogens. It is an organochlorine compound, an indolocarbazole, a N-glycosyl compound and an organic heterohexacyclic compound.",[O][=C][N][=C][Branch1][C][O][C][C][Ring1][=Branch1][=C][C][C][=C][C][=C][Branch1][C][Cl][C][=Ring1][#Branch1][N][Branch2][Ring1][Ring2][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][Ring2][Ring1][Branch1][=C][NH1][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][C][=Ring2][Ring1][P][Ring1][#Branch2]
"The molecule is a C-glycosyl compound that is 9H-xanthen-9-one substituted by hydroxy groups at positions 1, 3, and 7 and a 1,5-anhydro-D-glucitol moiety at position 1. It has a role as a plant metabolite. It is a member of xanthones, a C-glycosyl compound and a polyphenol.",[O][=C][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][O][C][=C][Branch2][Ring1][Ring2][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][N][Ring2][Ring1][Ring1]
"The molecule is a chromenol that is 2H-chromene-5,7-diol substituted by geminal methyl groups at position 2, a 2-methylbutanoyl group at position 8 and a 3-acetyl-2,4,6-trihydroxy-5-methylbenzyl group at position 6. Isolated from Mallotus philippensis, it exhibits anti-inflammatory activity. It has a role as a metabolite, an anti-inflammatory agent, a histamine antagonist and an EC 1.14.13.39 (nitric oxide synthase) inhibitor. It is a chromenol, a methyl ketone, a polyphenol and an aromatic ketone. It derives from a phloroglucinol.",[C][C][C][Branch1][C][C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][Branch2][Ring1][O][C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Branch1][C][O][C][Branch1][=Branch1][C][Branch1][C][C][=O][=C][Ring1][N][O][=C][Branch1][C][O][C][=C][Ring2][Ring1][=Branch1][O][C][Branch1][C][C][Branch1][C][C][C][=C][Ring1][Branch2]
The molecule is a pentacyclic triterpenoid that is oleanane substituted at the 3beta-position by a hydroxy group and containing a double bond between positions 12 and 13. It is one of the most commonly occurring triterpenoids in higher plants. It has a role as a plant metabolite and an Aspergillus metabolite. It is a pentacyclic triterpenoid and a secondary alcohol. It derives from a hydride of an oleanane.,[C][C][Branch1][C][C][C][C][C@][Branch1][C][C][C][C][C@][Branch1][C][C][C][=Branch2][Ring1][P][=C][C][C@@H1][C@@][Branch1][C][C][C][C][C@H1][Branch1][C][O][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring1][#Branch2][C][C][C@][Ring1][=C][Ring2][Ring1][Ring1][C][C@@H1][Ring2][Ring1][=Branch2][C][Ring2][Ring1][=C]
"The molecule is a pyrroloquinoxaline that is pyrrolo[1,2-a]quinoxaline bearing additional 4-methylpiperazin-1-yl and trifluoromethyl substituents at positions 4 and 7 respectively. A 5-hydroxytryptamine receptor 1B (5-HT1B) full agonist, 10-fold selective over 5-HT1A and 1000-fold selective over 5-HT2C receptors. Centrally active following systemic administration. It has a role as a serotonergic agonist. It is a N-arylpiperazine, an organofluorine compound and a pyrroloquinoxaline.",[C][N][C][C][N][Branch2][Ring1][=C][C][=N][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=C][Ring1][#Branch2][N][C][=C][C][=C][Ring1][P][Ring1][Branch1][C][C][Ring2][Ring1][#Branch1]
"The molecule is a bridged compound that is 3,4-xylenol carrying an additional isobornyl substituent at position 6. A lipophilic antibacterial drug mainly used in spray dosage forms for the local treatment of infection and inflammation of the throat. It has a role as an antibacterial drug. It is a member of phenols and a bridged compound. It derives from a hydride of a bornane.",[C][C][=C][C][Branch1][C][O][=C][Branch2][Ring1][Ring1][C@@H1][C][C@H1][C][C][C@][Ring1][=Branch1][Branch1][C][C][C][Ring1][=Branch1][Branch1][C][C][C][C][=C][Ring1][P][C]
"The molecule is a benzoylurea insecticide, a member of monochlorobenzenes, a member of (trifluoromethyl)benzenes, a member of monofluorobenzenes and a difluorobenzene. It has a role as a mite growth regulator. It derives from a diphenyl ether.",[O][C][=Branch2][Ring2][Ring1][=N][C][=C][C][=C][Branch2][Ring1][Branch1][O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][Cl][C][=C][Ring2][Ring1][C][F][N][=C][Branch1][C][O][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F]
"The molecule is a hydroxyisoflavone that is isoflavone substituted by a hydroxy group at position 2', a methoxy group at position 5 and a methylenedioxy group across positions 6 and 7 respectively. It has a role as a plant metabolite. It is a hydroxyisoflavone and a methoxyisoflavone. It derives from an isoflavone.",[C][O][C][=C][C][=Branch2][Ring1][O][=C][C][O][C][=C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][Ring2][Ring1][C][=Ring1][=C][O][C][O][Ring2][Ring1][Ring2]
"The molecule is a member of the class of benzotriazoles that is 1H-benzotriazole which is substituted by a 2-oxo-2-{(4-propanamidophenyl)[(thiophen-3-yl)methyl]amino}ethyl group at position 1. It is a 3C-like protease inhibitor of SARS-CoV and bat coronavirus HKU4. It has a role as an EC 3.4.22.69 (SARS coronavirus main proteinase) inhibitor and an anticoronaviral agent. It is a member of benzotriazoles, a dicarboxylic acid diamide, a secondary carboxamide, a tertiary carboxamide and a member of thiophenes.",[C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][=C][N][Branch1][=Branch2][C][C][C][=C][S][C][=Ring1][Branch1][C][=Branch1][C][=O][C][N][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][=C][Ring2][Ring1][=Branch2]
"The molecule is a 3-{2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl}-2-methyl-4-oxo-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-9-yl hexadecanoate that is the (S)-enantiomer of paliperidone palmitate. It is an enantiomer of a (R)-paliperidone palmitate.",[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C@H1][C][C][C][N][C][Ring1][=Branch1][=N][C][Branch1][C][C][=C][Branch2][Ring1][=N][C][C][N][C][C][C][Branch1][P][C][=N][O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch2][Ring1][#Branch1][C][C][Ring1][S][C][Ring2][Ring1][=Branch2][=O]
"The molecule is a member of the class of biindoles that is indirubin substituted at position 6 by a bromo group and in which the keto group at position 3' has undergone condensation with hydroxylamine to form the corresponding oxime. It has a role as an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor and an EC 2.7.11.26 (tau-protein kinase) inhibitor. It is a ketoxime, an organobromine compound, a member of oxindoles and a biindole.",[O][=N][C][=C][Branch2][Ring1][Ring2][C][=C][Branch1][C][O][NH1][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][O][Ring1][#Branch1][NH1][C][=C][C][=C][C][=C][Ring2][Ring1][Ring2][Ring1][=Branch1]
