prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a carbopolycyclic compound that is (3S)-3-ethyl-6,8-dihydroxy-3,4-dihydrotetraphene-1,7,12(2H)-trione substituted at position 8 by a 3-amino-2,3,6-trideoxy-alpha-L-ribo-hexopyranosyl group. It is isolated from the culture broth of Nocardia brasiliensis and exhibits antibacterial activity against Gram-positive bacteria. It is also active against the multiple drug-resistant P388/ADR tumour cells. It has a role as a metabolite, an antimicrobial agent, an antibacterial agent and an antineoplastic agent. It is a member of phenols, an aminoglycoside, a deoxy hexoside, a carbopolycyclic compound and a member of p-quinones.",CC[C@@H]1CC(=O)c2c(cc(O)c3c2C(=O)c2cccc(O[C@H]4C[C@@H](N)[C@@H](O)[C@H](C)O4)c2C3=O)C1,C[C@H]1[C@@H](N)[C@H](C(=O)[C@@H]2C(O)NC(=N)COC(=O)[CH][C@H](N)[C@H]2O[C]OC[C@H](C)[C@@H](N)C(O)[C]O)O[C@@H](C)[C@H]1N,True,False,0.5061,0.4069,0.5044,0.2831,0.4153,0.1429,0.5735,0.4147
"The molecule is a polyketide that is monacolin L bearing an additional hydroxy substituent at position 8. It has a role as an antimicrobial agent, a fungal metabolite and an EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor. It is a secondary alcohol, a polyketide, a carbobicyclic compound, a member of 2-pyranones and a member of hexahydronaphthalenes. It derives from a monacolin L.",C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](O)C1,[CH][C@@]1(C)C[C@@H](O)[C@H](O)[C@H](C)C1[CH]CC[C@@H]1C[CH]C=CC1=O,True,False,0.7721,0.5798,0.613,0.3125,0.4658,0.1818,0.5909,0.3138
"The molecule is a member of the class of cortistatins that is substituted by a dimethylamino group at the 3alpha position and a (2R)-4-(1,3-dimethylpiperidin-4-yl)butan-2-yl group at the 17 position, with double bonds at the 1-10 and 9-19 positions (the 3R,5R,17beta enantiomer).",CC1CN(C)CCC1CC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CCC1=CC3=CC[C@@H](N(C)C)C[C@]34CC[C@@]12O4,CC1=C2C(C)[C@H]2[C@H]2C/C(=C\CC[C]3[CH][CH]C4Pc5ccc(N(C)C)cc5CCN4CCC3)[C@](C)CC2[CH][C@](C)CC[CH]1,True,False,0.6691,0.46,0.5424,0.3408,0.4082,0.1061,0.678,0.3582
"The molecule is a nucleotide-sugar oxoanion arising from deprotonation of the diphosphate OH groups of dTDP-4-dehydro-2,3,6-trideoxy-alpha-D-glucose; major species at pH 7.3. It has a role as a bacterial metabolite. It is a conjugate base of a dTDP-4-dehydro-2,3,6-trideoxy-alpha-D-glucose.",Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)(O)O[C@@H]3CCC(=O)[C@@H](C)O3)O2)c(=O)nc1[O-],C[C@H]1O[C@H](OP(=O)(O)OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CCC(P[O-])=NC3=O)C[C@@H]2O)[C@H](O)[C@@H](O)C1=O,True,False,0.7209,0.6007,0.6699,0.4746,0.4175,0.4227,0.7625,0.5618
"The molecule is an amino trisaccharide that is 2-acetamido-2-deoxy-beta-D-glucopyranose in which the hydroxy groups at positions 4 and 6 have been converted into the corresponding 2-acetamido-2-deoxy-beta-D-glucopyranosyl and alpha-L-fucopyranosyl derivatives, respectively. It is a glucosamine oligosaccharide, a member of acetamides and an amino trisaccharide. It derives from a N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosamine.",CC(O)=N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N=C(C)O)[C@@H](CO[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)O[C@H]1O,[CH]O[C@H]1[C@H](O[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]([CH]N=C(C)O)O[CH][C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[CH]O)O[C@H](CO)[C@H](O)[C@@H]1O,True,False,0.869,0.7873,0.7564,0.6093,0.6547,0.25,0.8511,0.6444
"The molecule is a flavonoid oxoanion that is the conjugate base of isorhamnetin, arising from the deprotonation of the 7-hydroxy group; major species at pH 7.3. It is a conjugate base of an isorhamnetin.",COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)ccc1O,O=CO[C@@H]([CH]O)C=C(Cc1ccc([O-])c(O)c1)OCc1ccc([O-])c([O-])c1,True,False,0.4645,0.296,0.5641,0.3284,0.371,0.1467,0.575,0.2321
The molecule is puromycin derivative that lacks the methoxyphenylalanyl group on the amine of the sugar ring. It is a 3'-deoxyribonucleoside and a member of adenosines.,CN(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](N)[C@H]1O,COc1ccc(C[C@H]2O[C@@H](Nc3nc4c(N)ncnc4[nH]3)[C@H](CO)[C@@H](O)[C@H]2O)cc1OC,True,False,0.5715,0.4383,0.4695,0.2575,0.4667,0.2209,0.7714,0.4861
"The molecule is a tricyclic sesquiterpenoid that is pentalenene in which the 13-methyl group is oxidsed to the carboxylic acid and position 1 is substituted by a hydroxy group. It has a role as a metabolite. It is a sesquiterpenoid, a 5-hydroxy monocarboxylic acid and a carbotricyclic compound. It derives from a pentalenene. It is a conjugate acid of a pentalenate.",C[C@@H]1CC[C@H]2C(C(=O)O)=C[C@@H]3[C@@H](O)C(C)(C)C[C@@]132,CC1=C[C@]2(C)C[C@@H]3[C@H](C[C@H](C)[C@]3(C)C(=O)O)[C](C(=O)O)CC2[CH]1,True,False,0.7142,0.5299,0.5647,0.3319,0.3571,0.2222,0.7568,0.5155
"The molecule is a naphthochromene that is 4H-naphtho[2,3-h]chromene which is substituted at position 2 by a (2R)-butan-2-yl group, at position 5 by a hydroxymethyl group, at position 11 by a hydroxy group, and at positions 4, 7, and 12 by oxogroups. An antibiotic isolated from Streptomyces sp. cu39, it exerts a potent protecting effect on neuronal cells through suppressing L-glutamate toxicity. It has a role as a metabolite and an antimicrobial agent. It is a member of phenols, a member of benzyl alcohols, a naphthochromene and a member of p-quinones.",CC[C@@H](C)c1cc(=O)c2c(CO)cc3c(c2o1)C(=O)c1c(O)cccc1C3=O,CC(C)[C@@H]1Oc2c(O)c(O)c3c(c2O)[C]1C(=O)C1c2cc4c(c(c2)[C@H]3C(=O)Oc2cc(O)ccc21)OCO4,True,False,0.5634,0.3582,0.5792,0.3516,0.4819,0.1579,0.6744,0.562
"The molecule is an organic heterooctacyclic compound that is 1H,1'H-2,2'-biindole in which the nitrogens have undergone formal oxidative coupling to positions 2 and 5 of hexyl (3S)-3-hydroxy-2-methyltetrahydrofuran-3-carboxylate (the 2R,3S,5S product), and in which the 3 and 3' positions of the biindole moiety have also undergone formal oxidative coupling to positions 3 and 4 of 1,5-dihydro-2H-pyrrol-2-one. It has a role as an EC 2.7.11.11 (cAMP-dependent protein kinase) inhibitor. It is an organic heterooctacyclic compound, a gamma-lactam, a tertiary alcohol, a carboxylic ester, a hemiaminal, a semisynthetic derivative and an indolocarbazole. It derives from a K-252a.",CCCCCCOC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(O)=NC4,C=C1C(c2ccccc2)=CCC1C=C1[C](O)C(=O)c2ccccc2OCCCCCCCCCCOCNc2ccccc21,True,False,0.4757,0.2984,0.5326,0.3458,0.2375,0.1186,0.5185,0.5276
