prompt,gt_smiles,ring_count,gt_branches,ring_bin,branch_bin,stratum,morgan_sim
"The molecule is a dimethoxyflavone that is quercetin in which the hydroxy groups at the 3' and 7 positions have been replaced by methoxy groups. It has a role as a plant metabolite and an antineoplastic agent. It is a dimethoxyflavone, a trihydroxyflavone, an aromatic ether and a member of phenols. It derives from a quercetin.",COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,3,6,3+,3+,3+r/3+b (hardest),0.125
"The molecule is a 3beta-hydroxy-4,4-dimethylsteroid that is that is cholestan-3beta-ol in which the hydrogens at position 4 have been replaced by methyl groups and a double bond has been introduced between positions 8 and 14.",CC(C)CCC[C@@H](C)[C@H]1CCC2=C3CCC4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,4,6,3+,3+,3+r/3+b (hardest),0.2093
The molecule is a steroid glucosiduronic acid that consists of 17beta-estradiol having a beta-glucuronyl residue attached at position 17 via a glycosidic linkage. It is a steroid glucosiduronic acid and a 3-hydroxy steroid. It derives from a 17beta-estradiol. It is a conjugate acid of a 17beta-estradiol 17-glucosiduronate.,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,5,5,3+,3+,3+r/3+b (hardest),0.2892
The molecule is the glycine conjugate of lithocholic acid. It is a bile acid glycine conjugate and a N-acylglycine. It derives from a lithocholic acid. It is a conjugate acid of a glycolithocholate.,C[C@H](CCC(O)=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4,5,3+,3+,3+r/3+b (hardest),0.2637
"The molecule is a member of the class of xanthones that is 9H-xanthen-9-one substituted by hydroxy groups at positions 1 and 3, methoxy groups at positions 5 and 7 and two isoprenyl groups at positions 2 and 8 respectively. It is isolated from Cratoxylum Sumatranum and exhibits cytotoxicity towards the KB (human oral epidermoid) cancer cell line It has a role as a metabolite and an antineoplastic agent. It is a polyphenol, an aromatic ether and a member of xanthones.",COc1cc(OC)c2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,3,7,3+,3+,3+r/3+b (hardest),0.1136
"The molecule is a tricyclic diterpenoid that is isolated from plants and fungi and exhibits anti-bacterial protperties. It has a role as a plant metabolite, an antibacterial agent and a fungal metabolite. It is a labdane diterpenoid, a cyclic ether, an organic heterotricyclic compound and a tricyclic diterpenoid.",C=C[C@@]1(C)CC[C@H]2[C@]3(C)CCCC(C)(C)[C@H]3CC[C@]2(C)O1,3,5,3+,3+,3+r/3+b (hardest),0.1528
"The molecule is a member of the class of coumarins that is coumarin substituted by methoxy groups at positions 5 and 7, a prenyl group at position 6 and a 2,4-dihydroxyphenyl group at position 3. Isolated from Glycyrrhiza uralensis, it exhibits antibacterial activity. It has a role as a metabolite, an antibacterial agent and a plant metabolite. It is a member of coumarins, a member of hydroxyisoflavans and an aromatic ether.",COc1cc2oc(=O)c(-c3ccc(O)cc3O)cc2c(OC)c1CC=C(C)C,3,5,3+,3+,3+r/3+b (hardest),0.2763
"The molecule is a flavone C-glycoside that is 7,4'-dihydroxyflavone substituted by a 6-O-[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]-beta-D-glucopyranosyl residue at position 8 via a C-glycosidic linkage. It has a role as a plant metabolite. It is a dihydroxyflavone and a flavone C-glycoside.",O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO[C@@H]4OC[C@](O)(CO)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,5,9,3+,3+,3+r/3+b (hardest),0.1138
"The molecule is a tetracyclic triterpenoid isolated from Aglaia abbreviata. It has a role as a plant metabolite. It is a member of oxolanes, a diol and a tetracyclic triterpenoid. It derives from a hydride of a dammarane.",CC(C)(O)[C@@H]1CC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC[C@@H](O)C(C)(C)[C@@H]4CC[C@]23C)O1,5,9,3+,3+,3+r/3+b (hardest),0.1042
"The molecule is an amidobenzoic acid obtained by formal condensation of the carboxy group of (5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)benzoic acid with the anilino group of 4-aminobenzoic acid. A selective RARalpha agonist. It has a role as a retinoic acid receptor alpha/beta agonist and an antineoplastic agent. It is an amidobenzoic acid and a member of tetralins.",CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,3,7,3+,3+,3+r/3+b (hardest),0.102
"The molecule is a scalarane sesterterpenoid that is 12-epi-scalarin in which the hydorxy group at position 19 is replaced by a methoxy group. It has been isolated from the sponge, Hyattella species. It has a role as an animal metabolite. It is a scalarane sesterterpenoid, an acetate ester, an organic heteropentacyclic compound and a gamma-lactone. It derives from a 12-epi-scalarin.",CO[C@@H]1OC(=O)C2=CC[C@H]3[C@]4(C)CC[C@H]5C(C)(C)CCC[C@]5(C)[C@H]4C[C@@H](OC(C)=O)[C@]3(C)[C@H]21,5,8,3+,3+,3+r/3+b (hardest),0.2079
"The molecule is a member of the class of imidazolidinones that is 1,5,5-trimethyl-2-oxoimidazolidine bearing additional m-chlorophenyl and N'-p-chlorophenylureido substituents at positions 3 and 4 respectively. It is a member of monochlorobenzenes, an imidazolidinone and a member of phenylureas.",CN1C(=O)N(c2cccc(Cl)c2)C(N=C(O)Nc2ccc(Cl)cc2)C1(C)C,3,7,3+,3+,3+r/3+b (hardest),0.2083
"The molecule is a hydroxycoumarin that is 4,7-dihydroxy-2H-chromen-2-one substituted by a 2,4-dihydroxyphenyl group at position 3. It is isolated from the roots of Asphodelus microcarpus and exhibits antimicrobial activity against bacteria like Staphylococcus aureus, Escherichia coli and Pseudomonas aeruginosa and fungal microorganisms like Candida albicans and Botrytis cinerea. It has a role as a metabolite, an antifungal agent and an antibacterial agent. It is a hydroxycoumarin and a polyphenol.",O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O,3,3,3+,3+,3+r/3+b (hardest),0.2222
"The molecule is a member of the class of biindoles that is indirubin substituted at position 6 by a bromo group and in which the keto group at position 3' has undergone condensation with hydroxylamine to form the corresponding oxime. It has a role as an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor and an EC 2.7.11.26 (tau-protein kinase) inhibitor. It is a ketoxime, an organobromine compound, a member of oxindoles and a biindole.",O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12,4,3,3+,3+,3+r/3+b (hardest),0.1358
"The molecule is a member of the class of cyclobutadipyrimidines that is 1,4a,4b,8,8a,8b-hexahydrocyclobuta[1,2-d:4,3-d']dipyrimidine-2,4,7(3H)-trione carrying additional methyl and amino substituents at positions 4a and 5 respectively. It has a role as a Mycoplasma genitalium metabolite.",CC12C(O)=NC(O)=NC1C1N=C(O)NC(=N)C12,3,4,3+,3+,3+r/3+b (hardest),0.1194
"The molecule is a glucocorticoid, a 20-oxo steroid, a 21-hydroxy steroid, a 17alpha-hydroxy steroid, a fluorinated steroid, an 11beta-hydroxy steroid, a 3-oxo-Delta(1),Delta(4)-steroid, a primary alpha-hydroxy ketone and a tertiary alpha-hydroxy ketone. It has a role as an anti-inflammatory drug, an anti-asthmatic agent and an immunosuppressive agent. It derives from a hydride of a pregnane.",C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,4,7,3+,3+,3+r/3+b (hardest),0.18
"The molecule is a trimethoxyflavone that is tricin in which the hydroxy group at position 7 has been replaced by a methoxy group. It has been isolated from the stems of Sinocalamus affinis. It has a role as a plant metabolite. It is a trimethoxyflavone and a dihydroxyflavone. It derives from a 3',5'-di-O-methyltricetin.",COc1cc(O)c2c(=O)cc(-c3cc(OC)c(O)c(OC)c3)oc2c1,3,6,3+,3+,3+r/3+b (hardest),0.1707
The molecule is a nucleotide-sugar oxoanion arising from deprotonation of all four phosphate OH groups of 1-(5-phospho-beta-D-ribosyl)-5'-AMP; major species at pH 7.3. It has a role as a Saccharomyces cerevisiae metabolite. It is a conjugate base of a 1-(5-phospho-beta-D-ribosyl)-5'-AMP.,N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,4,9,3+,3+,3+r/3+b (hardest),0.32
"The molecule is a monohydroxyflavone that is flavone with a hydroxy substituent at position 5 and methoxy groups at positions 7, 2', 4' and 5'. Isolated from Calliandra californica, it exhibits antibacterial activity. It has a role as a metabolite and an antibacterial agent. It is a monohydroxyflavone and a tetramethoxyflavone.",COc1cc(O)c2c(=O)cc(-c3cc(OC)c(OC)cc3OC)oc2c1,3,5,3+,3+,3+r/3+b (hardest),0.1538
