prompt,gt_smiles,ring_count,gt_branches,ring_bin,branch_bin,stratum,morgan_sim
"The molecule is a lignan with a dibenzocyclooctadiene skeleton isolated from Kadsura ananosma. It has a role as a plant metabolite. It is an aromatic ether, an enoate ester, a lignan, an organic heterotetracyclic compound and an oxacycle. It derives from an angelic acid.",C/C=C(/C)C(=O)O[C@H]1c2cc(OC)c(OC)c(OC)c2-c2c(cc3c(c2OC)OCO3)[C@H](OC(=O)C(C)C)[C@H](C)[C@@H]1C,4,11,3+,3+,3+r/3+b (hardest),0.1468
"The molecule is a polyketide that is monacolin L bearing an additional hydroxy substituent at position 8. It has a role as an antimicrobial agent, a fungal metabolite and an EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor. It is a secondary alcohol, a polyketide, a carbobicyclic compound, a member of 2-pyranones and a member of hexahydronaphthalenes. It derives from a monacolin L.",C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](O)C1,3,5,3+,3+,3+r/3+b (hardest),0.1831
The molecule is a nucleotide-sugar oxoanion resulting from the removal of two protons from the diphosphate group of UDP-beta-L-arabinopyranose. It is a conjugate base of an UDP-beta-L-arabinopyranose.,O=c1nc([O-])ccn1[C@@H]1O[C@H](COP(=O)([O-])OP(=O)(O)O[C@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O,3,9,3+,3+,3+r/3+b (hardest),0.3778
The molecule is a dTDP-sugar having D-ravidosamine as the sugar component. It derives from a D-ravidosamine. It is a conjugate acid of a dTDP-D-ravidosamine(1-).,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](C)[C@H](O)[C@H](N(C)C)[C@H]3O)O2)c(=O)nc1O,3,12,3+,3+,3+r/3+b (hardest),0.3958
The molecule is a mannotriose consisting of an alpha-D-mannopyranose residue and two beta-D-mannopyranose residues joined in sequence by (1->3) and (1->2) glycosidic bonds. It derives from a beta-D-Manp-(1->2)-beta-D-Manp and an alpha-D-Manp-(1->3)-beta-D-Manp.,OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@H](O[C@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,3,9,3+,3+,3+r/3+b (hardest),0.1304
The molecule is a piperidinium ion resulting from the protonation of the amino group of (R)-donepezil. It is a conjugate acid of a (R)-donepezil. It is an enantiomer of a (S)-donepezil(1+).,COc1cc2c(cc1OC)C(=O)[C@H](CC1CC[NH+](Cc3ccccc3)CC1)C2,4,4,3+,3+,3+r/3+b (hardest),0.1414
"The molecule is an abietane diterpenoid with formula C20H26O3, originally isolated from Tripterygium hypoglaucum. It has a role as a plant metabolite. It is a member of p-quinones, an abietane diterpenoid, a carbotricyclic compound, a cyclic terpene ketone and a tricyclic diterpenoid.",CC(C)C1=CC(=O)C2=C(CC[C@H]3C(C)(C)C(=O)CC[C@]23C)C1=O,3,6,3+,3+,3+r/3+b (hardest),0.2174
"The molecule is a monocarboxylic acid amide that is piroxicam in which the pyrid-2-yl group is replaced by a 5-methyl-1,2-oxazol-3-yl group. A non-steroidal anti-inflammatory drug, it was withdrawn from the market in the 1980s following its association with cases of Stevens-Johnson syndrome. It has a role as a non-steroidal anti-inflammatory drug and an antirheumatic drug. It is a benzothiazine, a member of isoxazoles and a monocarboxylic acid amide.",Cc1cc(=NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)[nH]o1,3,5,3+,3+,3+r/3+b (hardest),0.1412
"The molecule is a pyrazinoindole with a disulfide bridge spanning a dioxo-substituted pyrazine ring; mycotoxin produced by several species of fungi. It has a role as a mycotoxin, an immunosuppressive agent, an EC 2.5.1.58 (protein farnesyltransferase) inhibitor, a proteasome inhibitor and an antifungal agent. It is an organic disulfide, a pyrazinoindole, an organic heterotetracyclic compound and a dipeptide.",CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3,5,4,3+,3+,3+r/3+b (hardest),0.1038
"The molecule is an organosulfur heterocyclic compound produced by a marine bacterium Alteromonas rava and has been shown to exhibit antibacterial activity against Gram-positive and Gram-negative bacteria. It has a role as an antimicrobial agent, a bacterial metabolite, an antibacterial agent and a marine metabolite. It is an organosulfur heterocyclic compound, a lactam, an enoate ester and a cyclic ether.",C/C(=C\C(=O)OCCCCCCCC(O)=Nc1c(O)nc2cssc1-2)[C@@H](O)[C@@H]1OC[C@H](C/C=C/[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,3,9,3+,3+,3+r/3+b (hardest),0.1377
"The molecule is a pyrrolopyrimidine that is 7-methyl-7H-pyrrolo[2,3-d]pyrimidin-4-amine which has been substituted at position 5 by a 4-fluoro-2,3-dihydro-1H-indol-5-yl group, the nitrogen of which has been acylated by a (6-methylpyridin-2-yl)acetyl group. An orally bioavailable PERK inhibitor. It has a role as an EC 3.1.3.48 (protein-tyrosine-phosphatase) inhibitor, a PERK inhibitor and an antineoplastic agent. It is a pyrrolopyrimidine, a biaryl, a member of indoles, a member of methylpyridines, an organofluorine compound and a tertiary carboxamide.",Cc1cccc(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1,5,5,3+,3+,3+r/3+b (hardest),0.1345
"The molecule is a pyrrolizidine alkaloid isolated from the plant species of the genus Senecio. It has a role as a plant metabolite. It is a lactone, a pyrrolizidine alkaloid and a tertiary alcohol. It derives from a senecionan. It is a conjugate base of a senecionine(1+).",C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,3,5,3+,3+,3+r/3+b (hardest),0.1461
"The molecule is the malonate ester of a labdane diterpenoid. Isolated from the aerial parts of Stemodia foliosa, it exhibits antibacterial activity. It has a role as a metabolite and an antibacterial agent. It is a labdane diterpenoid, a cyclic ether and a malonate ester.",C=C[C@@]1(C)CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3[C@@H](OC(=O)CC(=O)O)C[C@@]2(C)O1,3,8,3+,3+,3+r/3+b (hardest),0.1648
The molecule is a ribonucleoside 5'-monophosphate that is wyosine 5'-monophosphate substituted at position 7 by a 3-amino-3-carboxypropyl group. It derives from a guanosine. It is a tautomer of a 7-(3-amino-3-carboxypropyl)wyosine 5'-monophosphate zwitterion.,Cc1nc2n(C)c3c(ncn3[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c(=O)n2c1CC[C@H](N)C(=O)O,4,9,3+,3+,3+r/3+b (hardest),0.2018
"The molecule is a member of the class of ergot alkaloids that is known to act on serotonin and dopamine receptors. It has a role as an antiparkinson drug, a dopamine agonist and a serotonergic antagonist. It is an ergot alkaloid and a member of sulfamides. It derives from a hydride of an ergoline.",CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,4,5,3+,3+,3+r/3+b (hardest),0.1064
"The molecule is a cytochalasan alkaloid found in Chaetomium globosum. It has a role as a Chaetomium metabolite. It is a cytochalasan alkaloid, a member of indoles and a macrocycle.",CC1=C(O)C(=O)[C@H]2CC(=O)[C@@]34C(O)=N[C@@H](Cc5c[nH]c6ccccc56)[C@@H]3C(C)=C(C)[C@@H](O)[C@@H]4/C=C/C[C@H](C)[C@H]12,6,9,3+,3+,3+r/3+b (hardest),0.2946
"The molecule is an indole alkaloid isolated from Tabernaemontana corymbosa, and has been shown to exhibit cytotoxicity against human KB cells. It has a role as a metabolite and an antineoplastic agent. It is an alkaloid ester, an aromatic ether, an indole alkaloid, a member of phenols, a methyl ester and an organic heterohexacyclic compound.",COC(=O)C1=C2Nc3cc(OC)c(O)cc3[C@@]23CCN2CC[C@@H]4OCC[C@]4(C1)[C@H]23,6,4,3+,3+,3+r/3+b (hardest),0.1694
"The molecule is a pentahydroxyflavone that is flavone substituted by hydroxy groups at positions 3, 7, 3, 4' and 5'. It has a role as a plant metabolite. It is a pentahydroxyflavone and a 7-hydroxyflavonol.",O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)ccc12,3,6,3+,3+,3+r/3+b (hardest),0.1552
"The molecule is an N-sulfonylurea that is glyburide in which the (5-chloro-2-methoxybenzoyl group is replaced by a (5-methylpyrazin-2-yl)carbonyl group. An oral hypoglycemic agent, it is used in the treatment of type 2 diabetes mellitus. It has a role as a hypoglycemic agent, an EC 2.7.1.33 (pantothenate kinase) inhibitor and an insulin secretagogue. It is a N-sulfonylurea, a member of pyrazines, an aromatic amide and a monocarboxylic acid amide.",Cc1cnc(C(O)=NCCc2ccc(S(=O)(=O)NC(O)=NC3CCCCC3)cc2)cn1,3,6,3+,3+,3+r/3+b (hardest),0.1009
"The molecule is an organic heterooctacyclic compound that is 1H,1'H-2,2'-biindole in which the nitrogens have undergone formal oxidative coupling to positions 2 and 5 of hexyl (3S)-3-hydroxy-2-methyltetrahydrofuran-3-carboxylate (the 2R,3S,5S product), and in which the 3 and 3' positions of the biindole moiety have also undergone formal oxidative coupling to positions 3 and 4 of 1,5-dihydro-2H-pyrrol-2-one. It has a role as an EC 2.7.11.11 (cAMP-dependent protein kinase) inhibitor. It is an organic heterooctacyclic compound, a gamma-lactam, a tertiary alcohol, a carboxylic ester, a hemiaminal, a semisynthetic derivative and an indolocarbazole. It derives from a K-252a.",CCCCCCOC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(O)=NC4,8,5,3+,3+,3+r/3+b (hardest),0.1429
"The molecule is a member if the class of chalcones that is trans-chalcone substituted by a prenyl group at position 5', a hydroxy group at position 2' and methoxy groups at positions 4' and 4 respectively. It has a role as a plant metabolite. It is a member of chalcones, a member of phenols and an aromatic ether.",COc1ccc(/C=C/C(=O)c2cc(CC=C(C)C)c(OC)cc2O)cc1,2,5,1-2,3+,1-2r/3+b,0.2941
The molecule is a limonene monoterpenoid that consists of cyclohexanone bearing hydroxy and methyl substituents at position 2 as well as an isopropenyl substituent at position 5. It is a limonene monoterpenoid and a tertiary alpha-hydroxy ketone.,C=C(C)C1CCC(C)(O)C(=O)C1,1,4,1-2,3+,1-2r/3+b,0.1282
