prompt,response
"The molecule is an epoxy(hydroxy)icosatrienoate that is the conjugate base of 11 hydroxy-(14R,15S)-epoxy-(5Z,8Z,12E)-icosatrienoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3. It is a conjugate base of an 11 hydroxy-(14R,15S)-epoxy-(5Z,8Z,12E)-icosatrienoic acid.",[C][C][C][C][C][C@@H1][O][C@@H1][Ring1][Ring1][/C][=C][/C][Branch1][C][O][C][/C][=C][\C][/C][=C][\C][C][C][C][=Branch1][C][=O][O-1]
"The molecule is a tetracyclic triterpenoid that is 4,4,8-trimethylandrosta-1,14-diene substituted by an oxo group at position 3, an acetoxy group at position 7 and a furan-3-yl group at position 17. Isolated from Azadirachta indica, it exhibits antiplasmodial and antineoplastic activities. It has a role as an antineoplastic agent, an antiplasmodial drug and a plant metabolite. It is an acetate ester, a cyclic terpene ketone, a member of furans, a limonoid and a tetracyclic triterpenoid.",[C][C][=Branch1][C][=O][O][C@@H1][C][C@H1][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][C][=C][C@][Ring1][=Branch2][Branch1][C][C][C@H1][C][C][C@][Branch1][C][C][C][=Branch1][=N][=C][C][C@H1][Ring1][=Branch1][C][C][=C][O][C][=Ring1][Branch1][C@@][Ring1][#C][Ring2][Ring1][O][C]
"The molecule is a member of the class of N-nitrosoureas that is urea in which one of the nitrogens is substituted by methyl and nitroso groups. It has a role as a carcinogenic agent, a mutagen, a teratogenic agent and an alkylating agent.",[C][N][Branch1][Ring1][N][=O][C][=Branch1][C][=N][O]
"The molecule is an indole phytoalexin that is indole substituted at position 3 by a 1,3-thiazol-2-yl group. It has a role as a metabolite. It is an indole phytoalexin and a member of 1,3-thiazoles.",[C][=C][C][=C][C][Branch1][Branch2][C][=N][C][=C][S][Ring1][Branch1][=C][NH1][C][Ring1][#Branch2][=C][Ring1][=C]
The molecule is conjugate base of N(1)-(5-phospho-D-ribosyl)glycinamide. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It is a conjugate base of a N(1)-(5-phospho-D-ribosyl)glycinamide.,[N][C][C][Branch1][C][O-1][=N][C][O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][C@@H1][Branch1][C][O][C@H1][Ring1][N][O]
The molecule is the pyranose form of D-mannose 6-phosphate. It is a D-mannose 6-phosphate and a D-hexopyranose 6-phosphate. It is a conjugate acid of a D-mannopyranose 6-phosphate(2-).,[O][=P][Branch1][C][O][Branch1][C][O][O][C][C@H1][O][C][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O]
"The molecule is an organic heterotricyclic compound found in Pterocarpus santalinus. It has a role as a metabolite and a plant metabolite. It is an organic heterotricyclic compound, an aromatic ether, a cyclic ketone, a member of phenols, a tertiary alcohol and a tertiary alpha-hydroxy ketone.",[C][=C][C@H1][C][=C][C][Branch1][C][O][=C][Branch1][Ring1][O][C][C][=C][Ring1][=Branch2][C@@][Branch1][C][O][C][C@][Ring1][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][Ring1][O][=O]
The molecule is a long-chain primary fatty alcohol that is docosane substituted by a hydroxy group at position 1. It has a role as an antiviral agent. It is a long-chain primary fatty alcohol and a fatty alcohol 22:0. It derives from a hydride of a docosane.,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O]
The molecule is a ketohexose bisphosphate that is D-fructofuranose carrying phosphate groups at positions 2 and 6. It derives from a D-fructofuranose.,[O][=P][Branch1][C][O][Branch1][C][O][O][C][C@H1][O][C][Branch1][Ring1][C][O][Branch1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=N][O]
The molecule is an ADP-glycero-D-manno-heptose. It has a role as an Escherichia coli metabolite. It is a conjugate acid of an ADP-D-glycero-D-manno-heptose(2-).,[N][C][=N][C][=N][C][=C][Ring1][=Branch1][N][=C][N][Ring1][Branch1][C@@H1][O][C@H1][Branch2][Ring2][#Branch2][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][O][C@H1][Branch1][#Branch1][C@H1][Branch1][C][O][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][N][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=N][O]
"The molecule is a member of the class of dibenzofurans that is dibenzo[b,d]furan substituted by a hydroxy group at position 1 and chloro groups at positions 6 and 7. It is a member of dibenzofurans, an organochlorine compound and a member of phenols. It derives from a hydride of a dibenzofuran.",[O][C][=C][C][=C][C][O][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][C][=C][Ring1][Branch2][C][Ring1][#C][=Ring1][O]
The molecule is a nitrile that is acetonitrile where one of the methyl hydrogens is substituted by a 2-methylphenyl group. It derives from an acetonitrile.,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][#N]
"The molecule is a flavonoid oxoanion obtained by deprotonation of the 5-hydroxy group of 3',4',5,6-tetrahydroxy-3,7-dimethoxyflavone. It is the major microspecies at pH 7.3 (according to Marvin v 6.2.0.). It is a conjugate base of a 3',4',5,6-tetrahydroxy-3,7-dimethoxyflavone.",[C][O][C][=C][C][O][C][Branch1][#C][C][=C][C][=C][Branch1][C][O-1][C][Branch1][C][O][=C][Ring1][Branch2][=C][Branch1][Ring1][O][C][C][=Branch1][C][=O][C][=Ring1][P][C][Branch1][C][O][=C][Ring2][Ring1][=Branch1][O]
"The molecule is a carboxylic ester resulting from the formal condensation of phenylacetic acid with (3S)-3,7-dimethyloct-7-en-1-ol. It has a role as a flavouring agent. It is a carboxylic ester and an olefinic compound. It derives from a phenylacetic acid.",[C][=C][Branch1][C][C][C][C][C][C@H1][Branch1][C][C][C][C][O][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
The molecule is a fatty alcohol consisting of a hydroxy function at C-1 of an unbranched saturated chain of nine carbon atoms. It has been isolated as a component of volatile oils from plants like Hordeum vulgare. It has a role as a plant metabolite and a volatile oil component. It derives from a hydride of a nonane.,[C][C][C][C][C][C][C][C][C][O]
"The molecule is a methanesulfonate ester that is methanesulfonic acid in which the hydrogen of the hydroxy group has been replaced by a 2-ethoxy-3,3-dimethyl-2,3-dihydro-1-benzofuran-5-yl group. It is an ether, a methanesulfonate ester and a member of 1-benzofurans.",[C][C][O][C][O][C][=C][C][=C][Branch1][#Branch2][O][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][O][C][Ring1][=C][Branch1][C][C][C]
"The molecule is a member of benzenes, a sulfone and a member of triazoles. It has a role as an antimitotic, a herbicide and an agrochemical.",[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][=N][C][Branch2][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C][=N][Ring1][P]
"The molecule is a docosanoid that is (4Z,7Z,11E,13Z,16Z,19Z)-docosahexaenoic acid carrying a hydroperoxy substituent at position 10. It is a docosanoid, a hydroperoxy fatty acid and a long-chain fatty acid. It derives from an all-cis-docosa-4,7,10,13,16,19-hexaenoic acid. It is a conjugate acid of a (4Z,7Z,11E,13Z,16Z,19Z)-10-hydroperoxydocosahexaenoate.",[C][C][/C][=C][\C][/C][=C][\C][/C][=C][\C][=C][\C][Branch1][=C][C][/C][=C][\C][/C][=C][\C][C][C][=Branch1][C][=O][O][O][O]
The molecule is the monocarboxylic acid amide resulting from the formal condensation of the aryl amino group of 1-methyl-N-phenylpiperidin-4-amine with propanoic acid. It is a member of piperidines and a monocarboxylic acid amide.,[C][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1]
The molecule is a 2-hydroxydicarboxylic acid that is succinic acid in which one of the hydrogens attached to a carbon is replaced by a hydroxy group. It has a role as a food acidity regulator and a fundamental metabolite. It is a 2-hydroxydicarboxylic acid and a C4-dicarboxylic acid. It derives from a succinic acid. It is a conjugate acid of a malate(2-) and a malate.,[O][=C][Branch1][C][O][C][C][Branch1][C][O][C][=Branch1][C][=O][O]
The molecule is a organophosphonate oxoanion obtained by deprotonation of the carboxy and one of the ohopsphonate OH groups of phosphonoformic acid. It is the major microspecies at pH 7.3 (according to Marvin v 6.2.0.). It is an organophosphonate oxoanion and a monocarboxylic acid anion. It is a conjugate base of a phosphonoformic acid. It is a conjugate acid of a phosphonatoformate.,[O][=C][Branch1][C][O-1][P][=Branch1][C][=O][Branch1][C][O-1][O]
"The molecule is an aromatic amine containing two phenyl substituents. It has been used as a fungicide for the treatment of superficial scald in apples and pears, but is no longer approved for this purpose within the European Union. It has a role as a carotogenesis inhibitor, an antioxidant, an EC 1.3.99.29 [phytoene desaturase (zeta-carotene-forming)] inhibitor and an antifungal agrochemical. It is an aromatic amine, a secondary amino compound and a bridged diphenyl fungicide.",[C][=C][C][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N]
