prompt,response
"The molecule is an epoxy(hydroxy)icosatrienoate that is the conjugate base of 11 hydroxy-(14R,15S)-epoxy-(5Z,8Z,12E)-icosatrienoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3. It is a conjugate base of an 11 hydroxy-(14R,15S)-epoxy-(5Z,8Z,12E)-icosatrienoic acid.",CCCCC[C@H]1[C@H](O1)/C=C/C(C/C=C\\C/C=C\\CCCC(=O)[O-])O
"The molecule is the stable isotope of tellurium with relative atomic mass 124.904425, 71.4 atom percent natural abundance and nuclear spin 1/2.",[125Te]
"The molecule is a tetracyclic triterpenoid that is 4,4,8-trimethylandrosta-1,14-diene substituted by an oxo group at position 3, an acetoxy group at position 7 and a furan-3-yl group at position 17. Isolated from Azadirachta indica, it exhibits antiplasmodial and antineoplastic activities. It has a role as an antineoplastic agent, an antiplasmodial drug and a plant metabolite. It is an acetate ester, a cyclic terpene ketone, a member of furans, a limonoid and a tetracyclic triterpenoid.",CC(=O)O[C@@H]1C[C@@H]2[C@](C=CC(=O)C2(C)C)([C@@H]3[C@@]1(C4=CC[C@H]([C@@]4(CC3)C)C5=COC=C5)C)C
"The molecule is a member of the class of N-nitrosoureas that is urea in which one of the nitrogens is substituted by methyl and nitroso groups. It has a role as a carcinogenic agent, a mutagen, a teratogenic agent and an alkylating agent.",CN(C(=O)N)N=O
"The molecule is an indole phytoalexin that is indole substituted at position 3 by a 1,3-thiazol-2-yl group. It has a role as a metabolite. It is an indole phytoalexin and a member of 1,3-thiazoles.",C1=CC=C2C(=C1)C(=CN2)C3=NC=CS3
The molecule is conjugate base of N(1)-(5-phospho-D-ribosyl)glycinamide. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It is a conjugate base of a N(1)-(5-phospho-D-ribosyl)glycinamide.,C([C@@H]1[C@H]([C@H](C(O1)NC(=O)C[NH3+])O)O)OP(=O)([O-])[O-]
The molecule is the pyranose form of D-mannose 6-phosphate. It is a D-mannose 6-phosphate and a D-hexopyranose 6-phosphate. It is a conjugate acid of a D-mannopyranose 6-phosphate(2-).,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)OP(=O)(O)O
"The molecule is an organic heterotricyclic compound found in Pterocarpus santalinus. It has a role as a metabolite and a plant metabolite. It is an organic heterotricyclic compound, an aromatic ether, a cyclic ketone, a member of phenols, a tertiary alcohol and a tertiary alpha-hydroxy ketone.",COC1=CC(=O)[C@@]2(C[C@]1([C@H](C3=CC(=C(C=C32)OC)O)C=C)OC)O
The molecule is a long-chain primary fatty alcohol that is docosane substituted by a hydroxy group at position 1. It has a role as an antiviral agent. It is a long-chain primary fatty alcohol and a fatty alcohol 22:0. It derives from a hydride of a docosane.,CCCCCCCCCCCCCCCCCCCCCCO
The molecule is a ketohexose bisphosphate that is D-fructofuranose carrying phosphate groups at positions 2 and 6. It derives from a D-fructofuranose.,C([C@@H]1[C@H]([C@@H](C(O1)(CO)OP(=O)(O)O)O)O)OP(=O)(O)O
