prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a dimethoxyflavone that is quercetin in which the hydroxy groups at the 3' and 7 positions have been replaced by methoxy groups. It has a role as a plant metabolite and an antineoplastic agent. It is a dimethoxyflavone, a trihydroxyflavone, an aromatic ether and a member of phenols. It derives from a quercetin.",COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,COC=C1C=C(CC2=C3C(=O)C=C(O)C=C(O)C(OC)=C3OCC(OC)=C2O)C=C1OC,True,False,0.3203,0.1401,0.3203,0.1401,0.3051,0.1279,0.5,0.2973
"The molecule is a 3beta-hydroxy-4,4-dimethylsteroid that is that is cholestan-3beta-ol in which the hydrogens at position 4 have been replaced by methyl groups and a double bond has been introduced between positions 8 and 14.",CC(C)CCC[C@@H](C)[C@H]1CCC2=C3CCC4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,CCCC[C@H]1C(C)CCCC(C)C1C1=C[C@@H]2CC[C@H]([C@H](C)CCCC(C)C)[C@@]2(C)CC1,True,False,0.8025,0.6226,0.7074,0.3721,0.4342,0.2987,0.6053,0.6422
The molecule is a steroid glucosiduronic acid that consists of 17beta-estradiol having a beta-glucuronyl residue attached at position 17 via a glycosidic linkage. It is a steroid glucosiduronic acid and a 3-hydroxy steroid. It derives from a 17beta-estradiol. It is a conjugate acid of a 17beta-estradiol 17-glucosiduronate.,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,C[C]CC1[CH]CO[C@@H]2[C@@H](O)[C@H](O)[C](C)O[CH]OC2(C)c2cc(O)ccc2[CH]1,True,False,0.5472,0.3979,0.4877,0.3149,0.433,0.1753,0.6458,0.5274
The molecule is the glycine conjugate of lithocholic acid. It is a bile acid glycine conjugate and a N-acylglycine. It derives from a lithocholic acid. It is a conjugate acid of a glycolithocholate.,C[C@H](CCC(O)=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@H]1[CH]CC2[CH][C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]2(C)OC(=O)CN=C(O)CC1,True,False,0.854,0.7137,0.7741,0.5678,0.5326,0.2556,0.8491,0.5619
"The molecule is a member of the class of xanthones that is 9H-xanthen-9-one substituted by hydroxy groups at positions 1 and 3, methoxy groups at positions 5 and 7 and two isoprenyl groups at positions 2 and 8 respectively. It is isolated from Cratoxylum Sumatranum and exhibits cytotoxicity towards the KB (human oral epidermoid) cancer cell line It has a role as a metabolite and an antineoplastic agent. It is a polyphenol, an aromatic ether and a member of xanthones.",COc1cc(OC)c2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,COC1=C(O)C=C(O)C2=C(O)C=C(O)C(=CC=CC1(C)C)C(=O)C=C(C)c1ccc(O)c(O)c1C2,True,False,0.581,0.418,0.581,0.418,0.4348,0.1529,0.7333,0.3999
"The molecule is a tricyclic diterpenoid that is isolated from plants and fungi and exhibits anti-bacterial protperties. It has a role as a plant metabolite, an antibacterial agent and a fungal metabolite. It is a labdane diterpenoid, a cyclic ether, an organic heterotricyclic compound and a tricyclic diterpenoid.",C=C[C@@]1(C)CC[C@H]2[C@]3(C)CCCC(C)(C)[C@H]3CC[C@]2(C)O1,C=CC1[C]C(=O)[C](C)[C@H]1[C](C)C1C[C@H](C)CC(C)(C)[C@]12C[CH]CC2,True,False,0.6748,0.4803,0.6143,0.4076,0.5,0.1216,0.625,0.2659
"The molecule is a member of the class of coumarins that is coumarin substituted by methoxy groups at positions 5 and 7, a prenyl group at position 6 and a 2,4-dihydroxyphenyl group at position 3. Isolated from Glycyrrhiza uralensis, it exhibits antibacterial activity. It has a role as a metabolite, an antibacterial agent and a plant metabolite. It is a member of coumarins, a member of hydroxyisoflavans and an aromatic ether.",COc1cc2oc(=O)c(-c3ccc(O)cc3O)cc2c(OC)c1CC=C(C)C,COC=CC(=CC=CO)C1C=C(O)C2=C(O)C=C(OC)C(OC)C(O)=C2C1,True,False,0.4276,0.2031,0.4276,0.2031,0.3,0.1136,0.5556,0.2856
"The molecule is a flavone C-glycoside that is 7,4'-dihydroxyflavone substituted by a 6-O-[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]-beta-D-glucopyranosyl residue at position 8 via a C-glycosidic linkage. It has a role as a plant metabolite. It is a dihydroxyflavone and a flavone C-glycoside.",O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO[C@@H]4OC[C@](O)(CO)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,COC=C1C(O)=C(O)C[C@@H]1COc1cc(O)cc(O)c1C=C1C=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)=C1CO,True,False,0.6824,0.5612,0.5767,0.4051,0.4369,0.1754,0.7059,0.5295
"The molecule is a tetracyclic triterpenoid isolated from Aglaia abbreviata. It has a role as a plant metabolite. It is a member of oxolanes, a diol and a tetracyclic triterpenoid. It derives from a hydride of a dammarane.",CC(C)(O)[C@@H]1CC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC[C@@H](O)C(C)(C)[C@@H]4CC[C@]23C)O1,C=C1C=C2CC(C)CCC[C@](C)[CH]CC[C]1C[C]CC[C@H]1C2[CH][C@@](C)C2O[C@@](C)(CO)CC[C@@]21C,True,False,0.6308,0.4614,0.5331,0.3055,0.5192,0.13,0.5833,0.5443
"The molecule is an amidobenzoic acid obtained by formal condensation of the carboxy group of (5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)benzoic acid with the anilino group of 4-aminobenzoic acid. A selective RARalpha agonist. It has a role as a retinoic acid receptor alpha/beta agonist and an antineoplastic agent. It is an amidobenzoic acid and a member of tetralins.",CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,CC=Cc1cc(C=CC=C(C)C=CC=C2C=C(C)C(=O)N(Cc3ccc(N(C)C)cc3)C2=O)ccc1C,True,False,0.6288,0.4171,0.6288,0.4171,0.5385,0.0899,0.386,0.2808
