prompt,response
"The molecule is a lignan with a dibenzocyclooctadiene skeleton isolated from Kadsura ananosma. It has a role as a plant metabolite. It is an aromatic ether, an enoate ester, a lignan, an organic heterotetracyclic compound and an oxacycle. It derives from an angelic acid.",[C][/C][=C][Branch1][C][/C][C][=Branch1][C][=O][O][C@H1][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][C][=C][Branch1][S][C][=C][C][=Branch1][=Branch1][=C][Ring1][=Branch1][O][C][O][C][O][Ring1][Branch2][C@H1][Branch1][O][O][C][=Branch1][C][=O][C][Branch1][C][C][C][C@H1][Branch1][C][C][C@@H1][Ring2][Ring2][C][C]
"The molecule is a polyketide that is monacolin L bearing an additional hydroxy substituent at position 8. It has a role as an antimicrobial agent, a fungal metabolite and an EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor. It is a secondary alcohol, a polyketide, a carbobicyclic compound, a member of 2-pyranones and a member of hexahydronaphthalenes. It derives from a monacolin L.",[C][C@H1][C][=C][C][=C][C@H1][Branch1][C][C][C@H1][Branch1][P][C][C][C@@H1][C][C@@H1][Branch1][C][O][C][C][=Branch1][C][=O][O][Ring1][Branch2][C@H1][Ring1][P][C@@H1][Branch1][C][O][C][Ring2][Ring1][=Branch1]
The molecule is a nucleotide-sugar oxoanion resulting from the removal of two protons from the diphosphate group of UDP-beta-L-arabinopyranose. It is a conjugate base of an UDP-beta-L-arabinopyranose.,[O][=C][N][=C][Branch1][C][O-1][C][=C][N][Ring1][#Branch1][C@@H1][O][C@H1][Branch2][Ring2][C][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][O][C][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][O]
The molecule is a dTDP-sugar having D-ravidosamine as the sugar component. It derives from a D-ravidosamine. It is a conjugate acid of a dTDP-D-ravidosamine(1-).,[C][C][=C][N][Branch2][Branch1][#Branch1][C@H1][C][C@H1][Branch1][C][O][C@@H1][Branch2][Ring2][=Branch2][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][O][C@H1][Branch1][C][C][C@H1][Branch1][C][O][C@H1][Branch1][=Branch1][N][Branch1][C][C][C][C@H1][Ring1][O][O][O][Ring2][Ring1][N][C][=Branch1][C][=O][N][=C][Ring2][Ring2][Ring1][O]
The molecule is a mannotriose consisting of an alpha-D-mannopyranose residue and two beta-D-mannopyranose residues joined in sequence by (1->3) and (1->2) glycosidic bonds. It derives from a beta-D-Manp-(1->2)-beta-D-Manp and an alpha-D-Manp-(1->3)-beta-D-Manp.,[O][C][C@H1][O][C@H1][Branch2][Ring2][#Branch2][O][C@@H1][C@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@H1][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][Ring1][C][O][O][C@H1][Ring1][#Branch2][O][O][C@H1][Branch1][Ring1][C][O][C@H1][Ring2][Ring1][Branch1][O][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][#C][O]
The molecule is a piperidinium ion resulting from the protonation of the amino group of (R)-donepezil. It is a conjugate acid of a (R)-donepezil. It is an enantiomer of a (S)-donepezil(1+).,[C][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][C][=Branch1][C][=O][C@H1][Branch2][Ring1][Branch1][C][C][C][C][NH1+1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N][C][Ring2][Ring1][Branch2]
"The molecule is an abietane diterpenoid with formula C20H26O3, originally isolated from Tripterygium hypoglaucum. It has a role as a plant metabolite. It is a member of p-quinones, an abietane diterpenoid, a carbotricyclic compound, a cyclic terpene ketone and a tricyclic diterpenoid.",[C][C][Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=C][Branch2][Ring1][#Branch1][C][C][C@H1][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][C][C][C@][Ring1][=N][Ring1][=Branch2][C][C][Ring2][Ring1][Ring1][=O]
"The molecule is a monocarboxylic acid amide that is piroxicam in which the pyrid-2-yl group is replaced by a 5-methyl-1,2-oxazol-3-yl group. A non-steroidal anti-inflammatory drug, it was withdrawn from the market in the 1980s following its association with cases of Stevens-Johnson syndrome. It has a role as a non-steroidal anti-inflammatory drug and an antirheumatic drug. It is a benzothiazine, a member of isoxazoles and a monocarboxylic acid amide.",[C][C][=C][C][=Branch2][Ring1][=C][=N][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Ring1][=N][C][NH1][O][Ring2][Ring1][=Branch1]
"The molecule is a pyrazinoindole with a disulfide bridge spanning a dioxo-substituted pyrazine ring; mycotoxin produced by several species of fungi. It has a role as a mycotoxin, an immunosuppressive agent, an EC 2.5.1.58 (protein farnesyltransferase) inhibitor, a proteasome inhibitor and an antifungal agent. It is an organic disulfide, a pyrazinoindole, an organic heterotetracyclic compound and a dipeptide.",[C][N][C][=Branch1][C][=O][C@][C][C][=C][C][=C][C@H1][Branch1][C][O][C@H1][Ring1][#Branch1][N][Ring1][#Branch2][C][=Branch1][C][=O][C@@][Ring1][S][Branch1][Ring1][C][O][S][S][Ring1][P]
"The molecule is an organosulfur heterocyclic compound produced by a marine bacterium Alteromonas rava and has been shown to exhibit antibacterial activity against Gram-positive and Gram-negative bacteria. It has a role as an antimicrobial agent, a bacterial metabolite, an antibacterial agent and a marine metabolite. It is an organosulfur heterocyclic compound, a lactam, an enoate ester and a cyclic ether.",[C][/C][=Branch2][Ring2][C][=C][\C][=Branch1][C][=O][O][C][C][C][C][C][C][C][C][Branch1][C][O][=N][C][C][Branch1][C][O][=N][C][=C][S][S][C][=Ring1][=Branch2][Ring1][Branch1][C@@H1][Branch1][C][O][C@@H1][O][C][C@H1][Branch1][=N][C][/C][=C][/C@@H1][Branch1][C][C][C@H1][Branch1][C][C][O][C@@H1][Branch1][C][O][C@H1][Ring1][#C][O]
